Name,Time,MAC Address,UUID,Major,Minor,RSSI,Scanned Data
null,2019/12/16 14:08:12,2E:6C:47:B8:76:D9, , , ,-80, 
null,2019/12/16 14:08:12,01:D1:0F:73:10:2E, , , ,-56, 
null,2019/12/16 14:08:12,23:2A:57:24:41:44, , , ,-98, 
null,2019/12/16 14:08:12,03:A3:2A:3B:D3:B4, , , ,-83, 
null,2019/12/16 14:08:12,2E:6C:47:B8:76:D9, , , ,-80, 
null,2019/12/16 14:08:12,01:D1:0F:73:10:2E, , , ,-56, 
null,2019/12/16 14:08:12,28:A8:D0:2F:70:35, , , ,-84, 
null,2019/12/16 14:08:12,03:A3:2A:3B:D3:B4, , , ,-83, 
null,2019/12/16 14:08:12,5B:3F:F2:C0:9D:A1, , , ,-36, 
null,2019/12/16 14:08:12,5E:0C:05:FC:C1:BA, , , ,-94, 
null,2019/12/16 14:08:12,2E:6C:47:B8:76:D9, , , ,-80, 
null,2019/12/16 14:08:12,01:D1:0F:73:10:2E, , , ,-56, 
null,2019/12/16 14:08:12,28:A8:D0:2F:70:35, , , ,-83, 
null,2019/12/16 14:08:12,03:A3:2A:3B:D3:B4, , , ,-83, 
null,2019/12/16 14:08:12,2E:6C:47:B8:76:D9, , , ,-81, 
null,2019/12/16 14:08:12,28:A8:D0:2F:70:35, , , ,-83, 
null,2019/12/16 14:08:12,03:A3:2A:3B:D3:B4, , , ,-83, 
Mi Band 3,2019/12/16 14:08:12,C9:F2:EB:EB:B1:6E, , , ,-70, 
null,2019/12/16 14:08:12,2E:6C:47:B8:76:D9, , , ,-81, 
null,2019/12/16 14:08:12,01:D1:0F:73:10:2E, , , ,-56, 
null,2019/12/16 14:08:12,28:A8:D0:2F:70:35, , , ,-83, 
null,2019/12/16 14:08:12,5E:0C:05:FC:C1:BA, , , ,-95, 
null,2019/12/16 14:08:12,5B:3F:F2:C0:9D:A1, , , ,-36, 
null,2019/12/16 14:08:12,23:2A:57:24:41:44, , , ,-94, 
null,2019/12/16 14:08:12,03:A3:2A:3B:D3:B4, , , ,-82, 
null,2019/12/16 14:08:12,2E:6C:47:B8:76:D9, , , ,-80, 
null,2019/12/16 14:08:12,01:D1:0F:73:10:2E, , , ,-56, 
null,2019/12/16 14:08:12,28:A8:D0:2F:70:35, , , ,-83, 
null,2019/12/16 14:08:12,03:A3:2A:3B:D3:B4, , , ,-83, 
null,2019/12/16 14:08:12,2E:6C:47:B8:76:D9, , , ,-80, 
null,2019/12/16 14:08:12,01:D1:0F:73:10:2E, , , ,-56, 
null,2019/12/16 14:08:12,28:A8:D0:2F:70:35, , , ,-83, 
null,2019/12/16 14:08:12,23:2A:57:24:41:44, , , ,-90, 
null,2019/12/16 14:08:12,5E:0C:05:FC:C1:BA, , , ,-94, 
null,2019/12/16 14:08:12,03:A3:2A:3B:D3:B4, , , ,-83, 
null,2019/12/16 14:08:12,2E:6C:47:B8:76:D9, , , ,-80, 
null,2019/12/16 14:08:12,5B:3F:F2:C0:9D:A1, , , ,-36, 
null,2019/12/16 14:08:12,28:A8:D0:2F:70:35, , , ,-83, 
null,2019/12/16 14:08:12,23:2A:57:24:41:44, , , ,-92, 
null,2019/12/16 14:08:12,2E:6C:47:B8:76:D9, , , ,-80, 
Charge 2,2019/12/16 14:08:12,DD:B6:55:63:A7:87, , , ,-90, 
null,2019/12/16 14:08:12,01:D1:0F:73:10:2E, , , ,-56, 
null,2019/12/16 14:08:12,28:A8:D0:2F:70:35, , , ,-82, 
honor Band 4-BD8,2019/12/16 14:08:12,D0:16:B4:E1:2B:D8, , , ,-82, 
Beoplay H4,2019/12/16 14:08:12,00:09:A7:44:80:61, , , ,-91, 
null,2019/12/16 14:08:12,03:A3:2A:3B:D3:B4, , , ,-84, 
null,2019/12/16 14:08:12,2E:6C:47:B8:76:D9, , , ,-81, 
null,2019/12/16 14:08:12,01:D1:0F:73:10:2E, , , ,-57, 
null,2019/12/16 14:08:12,5E:0C:05:FC:C1:BA, , , ,-93, 
null,2019/12/16 14:08:12,28:A8:D0:2F:70:35, , , ,-82, 
null,2019/12/16 14:08:13,5B:3F:F2:C0:9D:A1, , , ,-36, 
null,2019/12/16 14:08:13,03:A3:2A:3B:D3:B4, , , ,-82, 
null,2019/12/16 14:08:13,2E:6C:47:B8:76:D9, , , ,-82, 
null,2019/12/16 14:08:13,01:D1:0F:73:10:2E, , , ,-55, 
null,2019/12/16 14:08:13,28:A8:D0:2F:70:35, , , ,-82, 
null,2019/12/16 14:08:13,03:A3:2A:3B:D3:B4, , , ,-83, 
null,2019/12/16 14:08:13,01:D1:0F:73:10:2E, , , ,-52, 
null,2019/12/16 14:08:13,28:A8:D0:2F:70:35, , , ,-85, 
null,2019/12/16 14:08:13,03:A3:2A:3B:D3:B4, , , ,-83, 
null,2019/12/16 14:08:13,2E:6C:47:B8:76:D9, , , ,-80, 
null,2019/12/16 14:08:13,01:D1:0F:73:10:2E, , , ,-51, 
null,2019/12/16 14:08:13,5B:3F:F2:C0:9D:A1, , , ,-36, 
null,2019/12/16 14:08:13,28:A8:D0:2F:70:35, , , ,-86, 
null,2019/12/16 14:08:14,03:A3:2A:3B:D3:B4, , , ,-81, 
null,2019/12/16 14:08:14,2E:6C:47:B8:76:D9, , , ,-80, 
Mi Band 3,2019/12/16 14:08:14,C9:F2:EB:EB:B1:6E, , , ,-74, 
null,2019/12/16 14:08:14,01:D1:0F:73:10:2E, , , ,-52, 
null,2019/12/16 14:08:14,28:A8:D0:2F:70:35, , , ,-91, 
honor Band 4-BD8,2019/12/16 14:08:14,D0:16:B4:E1:2B:D8, , , ,-82, 
null,2019/12/16 14:08:14,03:A3:2A:3B:D3:B4, , , ,-82, 
null,2019/12/16 14:08:14,2E:6C:47:B8:76:D9, , , ,-82, 
null,2019/12/16 14:08:14,01:D1:0F:73:10:2E, , , ,-52, 
null,2019/12/16 14:08:14,28:A8:D0:2F:70:35, , , ,-87, 
null,2019/12/16 14:08:14,5B:3F:F2:C0:9D:A1, , , ,-36, 
null,2019/12/16 14:08:14,03:A3:2A:3B:D3:B4, , , ,-82, 
null,2019/12/16 14:08:14,2E:6C:47:B8:76:D9, , , ,-84, 
null,2019/12/16 14:08:14,23:2A:57:24:41:44, , , ,-88, 
null,2019/12/16 14:08:14,03:A3:2A:3B:D3:B4, , , ,-82, 
null,2019/12/16 14:08:14,2E:6C:47:B8:76:D9, , , ,-83, 
null,2019/12/16 14:08:14,28:A8:D0:2F:70:35, , , ,-89, 
null,2019/12/16 14:08:14,03:A3:2A:3B:D3:B4, , , ,-82, 
null,2019/12/16 14:08:14,2E:6C:47:B8:76:D9, , , ,-83, 
null,2019/12/16 14:08:14,28:A8:D0:2F:70:35, , , ,-88, 
null,2019/12/16 14:08:14,5B:3F:F2:C0:9D:A1, , , ,-37, 
null,2019/12/16 14:08:14,03:A3:2A:3B:D3:B4, , , ,-82, 
null,2019/12/16 14:08:14,2E:6C:47:B8:76:D9, , , ,-81, 
null,2019/12/16 14:08:14,01:D1:0F:73:10:2E, , , ,-52, 
null,2019/12/16 14:08:14,28:A8:D0:2F:70:35, , , ,-89, 
honor Band 4-BD8,2019/12/16 14:08:14,D0:16:B4:E1:2B:D8, , , ,-82, 
null,2019/12/16 14:08:14,03:A3:2A:3B:D3:B4, , , ,-82, 
null,2019/12/16 14:08:14,2E:6C:47:B8:76:D9, , , ,-81, 
null,2019/12/16 14:08:14,01:D1:0F:73:10:2E, , , ,-51, 
null,2019/12/16 14:08:14,5E:0C:05:FC:C1:BA, , , ,-95, 
null,2019/12/16 14:08:14,28:A8:D0:2F:70:35, , , ,-89, 
null,2019/12/16 14:08:14,23:2A:57:24:41:44, , , ,-90, 
null,2019/12/16 14:08:14,03:A3:2A:3B:D3:B4, , , ,-82, 
null,2019/12/16 14:08:14,5B:3F:F2:C0:9D:A1, , , ,-37, 
