Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 17:38:23
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,17:38:24,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-46,80%,80%,26.5129024,80.2320987
2,,wifi,17:38:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-45,82%,81%,26.5129024,80.2320987
3,,wifi,17:38:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-45,82%,81%,26.5129035,80.2321001
4,,wifi,17:38:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-45,82%,81%,26.5129035,80.2321001
5,,wifi,17:38:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-45,82%,81%,26.5129035,80.2321001
6,,wifi,17:38:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-45,82%,81%,26.5129035,80.2321001
7,,wifi,17:38:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-45,-45,80%,81%,26.5129035,80.2321001
8,,wifi,17:38:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-45,-45,80%,81%,26.5129035,80.2321001
9,,wifi,17:38:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-45,-45,80%,81%,26.5129035,80.2321001
10,,wifi,17:38:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-45,-45,80%,81%,26.5129035,80.2321001
11,,wifi,17:38:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129035,80.2321001
12,,wifi,17:38:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-45,78%,80%,26.5129035,80.2321001
13,,wifi,17:38:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-45,78%,80%,26.5129035,80.2321001
14,,wifi,17:38:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-45,78%,80%,26.5129035,80.2321001
15,,wifi,17:38:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-45,78%,80%,26.5129038,80.2320985
16,,wifi,17:38:39,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129038,80.2320985
17,,wifi,17:38:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129038,80.2320985
18,,wifi,17:38:41,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129038,80.2320985
19,,wifi,17:38:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129038,80.2320985
20,,wifi,17:38:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129038,80.2320985
21,,wifi,17:38:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-45,82%,80%,26.5129038,80.2320985
22,,wifi,17:38:45,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-45,82%,80%,26.5129045,80.2320974
23,,wifi,17:38:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-45,82%,80%,26.5129045,80.2320974
24,,wifi,17:38:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-45,82%,80%,26.5129045,80.2320974
25,,wifi,17:38:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-45,80%,80%,26.5129045,80.2320974
26,,wifi,17:38:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129045,80.2320974
27,,wifi,17:38:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129045,80.2320974
28,,wifi,17:38:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129045,80.2320974
29,,wifi,17:38:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129037,80.232098
30,,wifi,17:38:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129037,80.232098
