Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 19:12:53
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,19:12:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-43,-43,85%,85%,26.5129121,80.2320848
2,,wifi,19:12:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-43,-43,85%,85%,26.5129121,80.2320848
3,,wifi,19:12:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-43,82%,84%,26.5129121,80.2320848
4,,wifi,19:12:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-43,-43,82%,83%,26.5129121,80.2320848
5,,wifi,19:12:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-41,-43,-41,87%,84%,26.5129121,80.2320845
6,,wifi,19:12:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-43,-41,80%,83%,26.51290881,80.23209745
7,,wifi,19:13:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-43,-41,80%,83%,26.51290883,80.23209745
8,,wifi,19:13:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-44,-41,80%,82%,26.51290884,80.23209743
9,,wifi,19:13:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-44,-41,80%,82%,26.51290885,80.2320974
10,,wifi,19:13:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-44,-41,80%,82%,26.51290886,80.23209736
11,,wifi,19:13:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-41,78%,81%,26.51290887,80.23209734
12,,wifi,19:13:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-41,78%,81%,26.5129039,80.2320837
13,,wifi,19:13:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-41,78%,81%,26.51290908,80.23209689
14,,wifi,19:13:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-41,78%,80%,26.51290909,80.23209685
15,,wifi,19:13:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-41,78%,80%,26.51290981,80.23209644
16,,wifi,19:13:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-41,78%,80%,26.51293789,80.23209073
17,,wifi,19:13:11,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-41,80%,80%,26.51295164,80.23208351
18,,wifi,19:13:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-41,80%,80%,26.51296609,80.23209887
19,,wifi,19:13:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-46,-41,75%,80%,26.5129107,80.2320683
20,,wifi,19:13:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-46,-41,75%,79%,26.51298991,80.23209163
21,,wifi,19:13:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-46,-41,75%,79%,26.51298323,80.23207942
22,,wifi,19:13:16,"TPLINK" (30:b5:c2:bb:f2:ca),72,-50,-46,-41,75%,79%,26.51299006,80.23208216
23,,wifi,19:13:17,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-41,80%,79%,26.51299639,80.23207845
24,,wifi,19:13:18,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-41,80%,79%,26.51300669,80.23207315
25,,wifi,19:13:19,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-41,80%,79%,26.51301168,80.23206891
26,,wifi,19:13:20,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-41,78%,79%,26.51302163,80.23206832
27,,wifi,19:13:21,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-41,78%,79%,26.51302572,80.23206325
28,,wifi,19:13:22,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-41,82%,79%,26.51302299,80.23205623
29,,wifi,19:13:23,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-46,-41,85%,79%,26.51302258,80.23205479
30,,wifi,19:13:25,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-46,-41,85%,79%,26.51302289,80.23205361
31,,wifi,19:13:26,"TPLINK" (30:b5:c2:bb:f2:ca),72,-43,-46,-41,85%,80%,26.51302294,80.23205362
32,,wifi,19:13:27,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-41,80%,80%,26.51302314,80.23205341
33,,wifi,19:13:28,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-41,80%,80%,26.5130187,80.23205256
34,,wifi,19:13:29,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-41,78%,80%,26.51301807,80.23205352
35,,wifi,19:13:30,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-41,78%,79%,26.51301244,80.23205239
36,,wifi,19:13:31,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-41,78%,79%,26.51301249,80.23205228
37,,wifi,19:13:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-46,-41,82%,79%,26.51301211,80.23205215
38,,wifi,19:13:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-41,82%,80%,26.51301006,80.23204993
39,,wifi,19:13:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-41,82%,80%,26.51300959,80.23204995
40,,wifi,19:13:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-41,80%,80%,26.51300843,80.23204954
41,,wifi,19:13:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-41,80%,80%,26.513008,80.23204939
42,,wifi,19:13:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-41,80%,80%,26.5130086,80.23204917
43,,wifi,19:13:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-41,80%,80%,26.51300768,80.23204807
44,,wifi,19:13:39,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-41,80%,80%,26.5130116,80.23203341
45,,wifi,19:13:41,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-41,80%,80%,26.51299026,80.23201487
46,,wifi,19:13:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-41,82%,80%,26.51297672,80.23198629
47,,wifi,19:13:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-46,-41,82%,80%,26.51299596,80.23197692
48,,wifi,19:13:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-46,-41,82%,80%,26.5129039,80.2320839
49,,wifi,19:13:45,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-46,-41,82%,80%,26.51300709,80.23195153
50,,wifi,19:13:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-46,-41,82%,80%,26.5130104,80.23194517
51,,wifi,19:13:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-41,82%,80%,26.51300889,80.23194324
52,,wifi,19:13:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-41,82%,80%,26.51300371,80.23193007
53,,wifi,19:13:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-41,82%,80%,26.5130058,80.23192322
54,,wifi,19:13:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-41,82%,80%,26.51301179,80.231932
55,,wifi,19:13:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-41,82%,80%,26.51301048,80.23192486
56,,wifi,19:13:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-41,82%,80%,26.51301016,80.23192129
57,,wifi,19:13:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-41,80%,80%,26.51300802,80.23191806
58,,wifi,19:13:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-41,80%,80%,26.51300803,80.23191459
59,,wifi,19:13:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-41,80%,80%,26.51300732,80.23191526
60,,wifi,19:13:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-41,80%,80%,26.51300735,80.23191489
61,,wifi,19:13:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-41,80%,80%,26.51300743,80.23191479
