Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 19:20:31
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,19:20:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,80%,26.5129036,80.2320978
2,,wifi,19:20:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,80%,26.5129036,80.2320978
3,,wifi,19:20:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,80%,26.5129036,80.2320978
4,,wifi,19:20:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-47,-47,80%,80%,26.5129037,80.2320981
5,,wifi,19:20:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-45,82%,80%,26.5129037,80.2320981
6,,wifi,19:20:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-45,82%,80%,26.5129037,80.2320981
7,,wifi,19:20:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-46,-45,82%,80%,26.5129037,80.2320981
8,,wifi,19:20:39,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-45,80%,80%,26.5129037,80.2320981
9,,wifi,19:20:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-45,80%,80%,26.5129038,80.2320984
10,,wifi,19:20:41,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-45,80%,80%,26.5129038,80.2320984
11,,wifi,19:20:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-45,80%,80%,26.5129038,80.2320984
12,,wifi,19:20:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-45,80%,80%,26.5129038,80.2320984
13,,wifi,19:20:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-45,80%,80%,26.5129038,80.2320984
14,,wifi,19:20:45,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-45,80%,80%,26.5129038,80.2320984
15,,wifi,19:20:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-45,80%,80%,26.5129038,80.2320984
16,,wifi,19:20:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129039,80.2320985
17,,wifi,19:20:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129039,80.2320985
18,,wifi,19:20:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-46,-45,80%,80%,26.5129039,80.2320985
19,,wifi,19:20:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-46,-44,82%,80%,26.5129039,80.2320985
20,,wifi,19:20:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-46,-44,82%,80%,26.5129039,80.2320985
21,,wifi,19:20:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-45,-44,82%,80%,26.5129036,80.2320985
22,,wifi,19:20:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-44,82%,80%,26.5129036,80.2320985
23,,wifi,19:20:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-44,82%,80%,26.5129036,80.2320985
24,,wifi,19:20:56,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-44,80%,80%,26.5129036,80.2320985
25,,wifi,19:20:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-44,80%,80%,26.5129036,80.2320985
26,,wifi,19:20:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-44,82%,80%,26.5129036,80.2320985
27,,wifi,19:20:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-44,82%,80%,26.5129036,80.2320985
28,,wifi,19:21:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-44,82%,80%,26.5129036,80.2320985
29,,wifi,19:21:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-44,82%,80%,26.5129036,80.2320985
30,,wifi,19:21:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-44,82%,80%,26.5129036,80.2320985
