Counter,Info,Signal type,Time (24h),SSID (BSSID),WiFi speed (Mbps),dBm,dBm average,Best signal,Percent:,Percent average,My Location latitude,My Location longitude
,Log date: 10/26/19
,Log start: 21:29:31
,Log interval: 1 seconds
,Device/Model: RMX1911
,Android: Version 9
,SSID (BSSID)SSID (BSSID): "TPLINK" (30:b5:c2:bb:f2:ca)
,MAC: 02:00:00:00:00:00
,WiFi speed: 72 MBit/s
,Encryption: [WPA2-PSK-CCMP][WPA-PSK-CCMP][ESS][WPS]
,Frequency (channel): 2452MHz * 9
,IP: 192.168.0.100
,External IP: null
,Netmask: 0.0.0.0
,Gateway: 192.168.0.1
,DHCP-Server: 192.168.0.1
,DNS1: 192.168.0.1
,DNS2: 0.0.0.0
1,,wifi,21:29:32,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-45,82%,82%,26.5129036,80.232098
2,,wifi,21:29:33,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-45,-45,82%,82%,26.5129035,80.2320857
3,,wifi,21:29:34,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.5129035,80.2320857
4,,wifi,21:29:35,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.5129035,80.2320857
5,,wifi,21:29:36,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.51290237,80.23209871
6,,wifi,21:29:37,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.51290237,80.23209871
7,,wifi,21:29:38,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.51290237,80.23209871
8,,wifi,21:29:39,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.51290237,80.23209871
9,,wifi,21:29:40,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.51290237,80.23209871
10,,wifi,21:29:41,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.51290237,80.23209871
11,,wifi,21:29:42,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.51290237,80.23209871
12,,wifi,21:29:43,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.51290236,80.2320987
13,,wifi,21:29:44,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.51290236,80.2320987
14,,wifi,21:29:45,"TPLINK" (30:b5:c2:bb:f2:ca),72,-44,-44,-44,82%,82%,26.51290236,80.23209871
15,,wifi,21:29:46,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-44,-44,82%,82%,26.51290236,80.23209871
16,,wifi,21:29:47,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-44,-44,82%,82%,26.51290235,80.23209871
17,,wifi,21:29:48,"TPLINK" (30:b5:c2:bb:f2:ca),72,-45,-44,-44,82%,82%,26.51290235,80.23209871
18,,wifi,21:29:49,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-44,-44,80%,81%,26.51290235,80.23209871
19,,wifi,21:29:50,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-44,-44,80%,81%,26.51290234,80.23209871
20,,wifi,21:29:51,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-44,-44,80%,81%,26.51290233,80.23209871
21,,wifi,21:29:52,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-44,-44,78%,81%,26.51290233,80.23209871
22,,wifi,21:29:53,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-44,78%,81%,26.51290233,80.23209871
23,,wifi,21:29:54,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-44,80%,81%,26.51290233,80.23209871
24,,wifi,21:29:55,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-45,-44,80%,81%,26.51290233,80.23209871
25,,wifi,21:29:57,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-45,-44,80%,81%,26.5129116,80.2320856
26,,wifi,21:29:58,"TPLINK" (30:b5:c2:bb:f2:ca),72,-47,-45,-44,80%,81%,26.51290233,80.23209868
27,,wifi,21:29:59,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-44,78%,81%,26.51290232,80.23209868
28,,wifi,21:30:0,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-44,78%,80%,26.51290232,80.23209867
29,,wifi,21:30:1,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-44,78%,80%,26.51290232,80.23209868
30,,wifi,21:30:2,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-44,78%,80%,26.51290233,80.23209867
31,,wifi,21:30:3,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-44,78%,80%,26.51290233,80.23209867
32,,wifi,21:30:4,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-44,80%,80%,26.51290233,80.23209867
33,,wifi,21:30:5,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-44,80%,80%,26.5129116,80.2320858
34,,wifi,21:30:6,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-45,-44,80%,80%,26.5129116,80.2320858
35,,wifi,21:30:7,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-44,78%,80%,26.5129116,80.2320858
36,,wifi,21:30:8,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-44,78%,80%,26.51290231,80.23209868
37,,wifi,21:30:9,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-44,78%,80%,26.5129118,80.2320856
38,,wifi,21:30:10,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-45,-44,78%,80%,26.51290231,80.23209867
39,,wifi,21:30:12,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-44,78%,80%,26.5129023,80.23209867
40,,wifi,21:30:13,"TPLINK" (30:b5:c2:bb:f2:ca),72,-48,-46,-44,78%,80%,26.51290207,80.2320989
41,,wifi,21:30:14,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-44,80%,80%,26.51290204,80.23209891
42,,wifi,21:30:15,"TPLINK" (30:b5:c2:bb:f2:ca),72,-46,-46,-44,80%,80%,26.51290204,80.23209892
