Name,Time,MAC Address,UUID,Major,Minor,RSSI,Scanned Data
null,2020/01/30 19:02:57,2E:15:5E:F3:A6:5F, , , ,-90, 
null,2020/01/30 19:02:57,57:41:E8:37:44:EA, , , ,-78, 
null,2020/01/30 19:02:57,00:E5:A8:FE:40:AC, , , ,-85, 
null,2020/01/30 19:02:57,27:5F:81:98:C6:7B, , , ,-96, 
null,2020/01/30 19:02:57,0A:8E:85:57:12:E7, , , ,-86, 
null,2020/01/30 19:02:57,65:08:9E:DD:47:6E, , , ,-89, 
null,2020/01/30 19:02:57,5E:0F:13:78:CD:F7, , , ,-88, 
null,2020/01/30 19:02:57,13:DF:F9:30:16:4F, , , ,-79, 
null,2020/01/30 19:02:57,56:D2:FB:F3:78:AA, , , ,-76, 
null,2020/01/30 19:02:57,16:A8:28:45:10:DF, , , ,-92, 
null,2020/01/30 19:02:57,0D:14:33:2E:4D:A9, , , ,-92, 
null,2020/01/30 19:02:57,65:A8:92:87:58:35, , , ,-94, 
[TV]89,2020/01/30 19:02:57,84:C0:EF:36:FA:AD, , , ,-62, 
null,2020/01/30 19:02:57,2E:15:5E:F3:A6:5F, , , ,-93, 
Office speaker,2020/01/30 19:02:57,67:5C:81:A4:76:FA, , , ,-97, 
null,2020/01/30 19:02:57,00:E5:A8:FE:40:AC, , , ,-84, 
null,2020/01/30 19:02:57,27:5F:81:98:C6:7B, , , ,-93, 
[TV]89,2020/01/30 19:02:57,84:C0:EF:36:FA:AD, , , ,-63, 
null,2020/01/30 19:02:57,0A:8E:85:57:12:E7, , , ,-89, 
null,2020/01/30 19:02:57,13:DF:F9:30:16:4F, , , ,-76, 
null,2020/01/30 19:02:57,1F:6F:C1:EB:6B:71, , , ,-95, 
null,2020/01/30 19:02:57,16:A8:28:45:10:DF, , , ,-90, 
null,2020/01/30 19:02:57,0D:14:33:2E:4D:A9, , , ,-94, 
[TV]89,2020/01/30 19:02:57,84:C0:EF:36:FA:AD, , , ,-64, 
null,2020/01/30 19:02:57,57:41:E8:37:44:EA, , , ,-82, 
null,2020/01/30 19:02:57,27:5F:81:98:C6:7B, , , ,-91, 
null,2020/01/30 19:02:57,13:DF:F9:30:16:4F, , , ,-77, 
null,2020/01/30 19:02:57,1F:6F:C1:EB:6B:71, , , ,-96, 
null,2020/01/30 19:02:57,16:A8:28:45:10:DF, , , ,-91, 
[TV]89,2020/01/30 19:02:57,84:C0:EF:36:FA:AD, , , ,-59, 
null,2020/01/30 19:02:57,25:C0:11:75:38:5C, , , ,-85, 
null,2020/01/30 19:02:57,30:E4:CD:8D:F6:BE, , , ,-98, 
null,2020/01/30 19:02:57,2E:15:5E:F3:A6:5F, , , ,-95, 
null,2020/01/30 19:02:57,5E:0F:13:78:CD:F7, , , ,-81, 
null,2020/01/30 19:02:57,00:E5:A8:FE:40:AC, , , ,-85, 
[TV]89,2020/01/30 19:02:57,84:C0:EF:36:FA:AD, , , ,-66, 
null,2020/01/30 19:02:57,27:5F:81:98:C6:7B, , , ,-93, 
null,2020/01/30 19:02:57,1F:FB:FB:60:A0:A1, , , ,-91, 
null,2020/01/30 19:02:57,13:DF:F9:30:16:4F, , , ,-78, 
null,2020/01/30 19:02:57,57:41:E8:37:44:EA, , , ,-75, 
Office speaker,2020/01/30 19:02:57,67:5C:81:A4:76:FA, , , ,-93, 
[TV]89,2020/01/30 19:02:57,84:C0:EF:36:FA:AD, , , ,-62, 
null,2020/01/30 19:02:57,0D:14:33:2E:4D:A9, , , ,-94, 
null,2020/01/30 19:02:57,25:C0:11:75:38:5C, , , ,-86, 
null,2020/01/30 19:02:57,65:08:9E:DD:47:6E, , , ,-76, 
null,2020/01/30 19:02:57,2E:15:5E:F3:A6:5F, , , ,-94, 
null,2020/01/30 19:02:57,56:D2:FB:F3:78:AA, , , ,-78, 
null,2020/01/30 19:02:57,00:E5:A8:FE:40:AC, , , ,-82, 
[TV]89,2020/01/30 19:02:57,84:C0:EF:36:FA:AD, , , ,-59, 
null,2020/01/30 19:02:57,27:5F:81:98:C6:7B, , , ,-93, 
null,2020/01/30 19:02:57,0A:8E:85:57:12:E7, , , ,-87, 
null,2020/01/30 19:02:57,13:DF:F9:30:16:4F, , , ,-78, 
null,2020/01/30 19:02:57,1F:6F:C1:EB:6B:71, , , ,-96, 
null,2020/01/30 19:02:57,16:A8:28:45:10:DF, , , ,-90, 
null,2020/01/30 19:02:57,0D:14:33:2E:4D:A9, , , ,-94, 
[TV]89,2020/01/30 19:02:57,84:C0:EF:36:FA:AD, , , ,-60, 
null,2020/01/30 19:02:57,2E:15:5E:F3:A6:5F, , , ,-94, 
[TV]89,2020/01/30 19:02:57,84:C0:EF:36:FA:AD, , , ,-67, 
null,2020/01/30 19:02:57,00:E5:A8:FE:40:AC, , , ,-87, 
null,2020/01/30 19:02:57,27:5F:81:98:C6:7B, , , ,-94, 
null,2020/01/30 19:02:57,57:41:E8:37:44:EA, , , ,-81, 
null,2020/01/30 19:02:57,0A:8E:85:57:12:E7, , , ,-90, 
null,2020/01/30 19:02:57,1F:FB:FB:60:A0:A1, , , ,-95, 
null,2020/01/30 19:02:57,13:DF:F9:30:16:4F, , , ,-77, 
null,2020/01/30 19:02:57,1F:6F:C1:EB:6B:71, , , ,-94, 
null,2020/01/30 19:02:57,16:A8:28:45:10:DF, , , ,-92, 
[TV]89,2020/01/30 19:02:57,84:C0:EF:36:FA:AD, , , ,-69, 
null,2020/01/30 19:02:57,25:C0:11:75:38:5C, , , ,-86, 
null,2020/01/30 19:02:57,30:E4:CD:8D:F6:BE, , , ,-97, 
null,2020/01/30 19:02:57,56:D2:FB:F3:78:AA, , , ,-76, 
Office speaker,2020/01/30 19:02:57,67:5C:81:A4:76:FA, , , ,-95, 
null,2020/01/30 19:02:57,65:A8:92:87:58:35, , , ,-89, 
null,2020/01/30 19:02:57,2E:15:5E:F3:A6:5F, , , ,-94, 
null,2020/01/30 19:02:57,00:E5:A8:FE:40:AC, , , ,-87, 
null,2020/01/30 19:02:57,27:5F:81:98:C6:7B, , , ,-90, 
null,2020/01/30 19:02:57,0A:8E:85:57:12:E7, , , ,-90, 
null,2020/01/30 19:02:57,13:DF:F9:30:16:4F, , , ,-78, 
null,2020/01/30 19:02:57,1F:6F:C1:EB:6B:71, , , ,-94, 
[TV]89,2020/01/30 19:02:57,84:C0:EF:36:FA:AD, , , ,-58, 
null,2020/01/30 19:02:57,0D:14:33:2E:4D:A9, , , ,-94, 
null,2020/01/30 19:02:57,16:A8:28:45:10:DF, , , ,-91, 
null,2020/01/30 19:02:57,65:08:9E:DD:47:6E, , , ,-80, 
null,2020/01/30 19:02:57,13:DF:F9:30:16:4F, , , ,-78, 
null,2020/01/30 19:02:57,1F:6F:C1:EB:6B:71, , , ,-95, 
[TV]89,2020/01/30 19:02:57,84:C0:EF:36:FA:AD, , , ,-70, 
null,2020/01/30 19:02:57,56:D2:FB:F3:78:AA, , , ,-82, 
null,2020/01/30 19:02:57,16:A8:28:45:10:DF, , , ,-90, 
null,2020/01/30 19:02:57,25:C0:11:75:38:5C, , , ,-86, 
[TV]89,2020/01/30 19:02:57,84:C0:EF:36:FA:AD, , , ,-68, 
null,2020/01/30 19:02:57,27:5F:81:98:C6:7B, , , ,-91, 
null,2020/01/30 19:02:57,00:E5:A8:FE:40:AC, , , ,-82, 
null,2020/01/30 19:02:57,5E:0F:13:78:CD:F7, , , ,-82, 
null,2020/01/30 19:02:57,0A:8E:85:57:12:E7, , , ,-88, 
null,2020/01/30 19:02:57,1F:FB:FB:60:A0:A1, , , ,-91, 
null,2020/01/30 19:02:57,13:DF:F9:30:16:4F, , , ,-76, 
Office speaker,2020/01/30 19:02:57,67:5C:81:A4:76:FA, , , ,-96, 
null,2020/01/30 19:02:57,0D:14:33:2E:4D:A9, , , ,-92, 
null,2020/01/30 19:02:57,65:A8:92:87:58:35, , , ,-90, 
null,2020/01/30 19:02:57,16:A8:28:45:10:DF, , , ,-86, 
null,2020/01/30 19:02:57,25:C0:11:75:38:5C, , , ,-86, 
