Name,Time,MAC Address,UUID,Major,Minor,RSSI,Scanned Data
null,2020/01/30 18:56:17,3E:7E:CF:4C:02:8F, , , ,-93, 
null,2020/01/30 18:56:17,56:D2:FB:F3:78:AA, , , ,-80, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-56, 
null,2020/01/30 18:56:17,3D:7E:91:BE:6B:A3, , , ,-97, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-56, 
null,2020/01/30 18:56:17,57:41:E8:37:44:EA, , , ,-88, 
null,2020/01/30 18:56:17,3E:7E:CF:4C:02:8F, , , ,-92, 
null,2020/01/30 18:56:17,3D:7E:91:BE:6B:A3, , , ,-96, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-56, 
null,2020/01/30 18:56:17,65:08:9E:DD:47:6E, , , ,-87, 
null,2020/01/30 18:56:17,18:B5:41:2C:85:BD, , , ,-86, 
null,2020/01/30 18:56:17,24:F6:77:13:34:DD, , , ,-86, 
null,2020/01/30 18:56:17,56:D2:FB:F3:78:AA, , , ,-81, 
null,2020/01/30 18:56:17,3D:7E:91:BE:6B:A3, , , ,-101, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-56, 
null,2020/01/30 18:56:17,57:41:E8:37:44:EA, , , ,-89, 
null,2020/01/30 18:56:17,18:B5:41:2C:85:BD, , , ,-87, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-56, 
null,2020/01/30 18:56:17,3E:7E:CF:4C:02:8F, , , ,-95, 
null,2020/01/30 18:56:17,3D:7E:91:BE:6B:A3, , , ,-96, 
null,2020/01/30 18:56:17,24:F6:77:13:34:DD, , , ,-86, 
null,2020/01/30 18:56:17,56:D2:FB:F3:78:AA, , , ,-81, 
null,2020/01/30 18:56:17,18:B5:41:2C:85:BD, , , ,-87, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-57, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:17,3D:7E:91:BE:6B:A3, , , ,-98, 
null,2020/01/30 18:56:17,57:41:E8:37:44:EA, , , ,-89, 
null,2020/01/30 18:56:17,18:B5:41:2C:85:BD, , , ,-86, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:17,65:08:9E:DD:47:6E, , , ,-85, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:17,24:F6:77:13:34:DD, , , ,-85, 
null,2020/01/30 18:56:17,18:B5:41:2C:85:BD, , , ,-86, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-57, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-58, 
null,2020/01/30 18:56:17,57:41:E8:37:44:EA, , , ,-86, 
null,2020/01/30 18:56:17,3E:7E:CF:4C:02:8F, , , ,-93, 
null,2020/01/30 18:56:17,3D:7E:91:BE:6B:A3, , , ,-97, 
null,2020/01/30 18:56:17,18:B5:41:2C:85:BD, , , ,-86, 
null,2020/01/30 18:56:17,65:08:9E:DD:47:6E, , , ,-85, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:17,24:F6:77:13:34:DD, , , ,-85, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:17,3E:7E:CF:4C:02:8F, , , ,-94, 
null,2020/01/30 18:56:17,3D:7E:91:BE:6B:A3, , , ,-96, 
null,2020/01/30 18:56:17,18:B5:41:2C:85:BD, , , ,-86, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:17,57:41:E8:37:44:EA, , , ,-84, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-58, 
null,2020/01/30 18:56:17,3E:7E:CF:4C:02:8F, , , ,-92, 
null,2020/01/30 18:56:17,3D:7E:91:BE:6B:A3, , , ,-96, 
[TV]89,2020/01/30 18:56:17,84:C0:EF:36:FA:AD, , , ,-58, 
null,2020/01/30 18:56:17,24:F6:77:13:34:DD, , , ,-85, 
null,2020/01/30 18:56:17,3E:7E:CF:4C:02:8F, , , ,-92, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:18,18:B5:41:2C:85:BD, , , ,-85, 
null,2020/01/30 18:56:18,08:1B:3E:E9:AE:A2, , , ,-100, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-57, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:18,24:F6:77:13:34:DD, , , ,-84, 
null,2020/01/30 18:56:18,18:B5:41:2C:85:BD, , , ,-86, 
null,2020/01/30 18:56:18,56:D2:FB:F3:78:AA, , , ,-83, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:18,3E:7E:CF:4C:02:8F, , , ,-95, 
null,2020/01/30 18:56:18,3D:7E:91:BE:6B:A3, , , ,-93, 
null,2020/01/30 18:56:18,57:41:E8:37:44:EA, , , ,-84, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:18,18:B5:41:2C:85:BD, , , ,-86, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:18,3D:7E:91:BE:6B:A3, , , ,-98, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:18,18:B5:41:2C:85:BD, , , ,-85, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-56, 
null,2020/01/30 18:56:18,57:41:E8:37:44:EA, , , ,-85, 
null,2020/01/30 18:56:18,3E:7E:CF:4C:02:8F, , , ,-94, 
null,2020/01/30 18:56:18,3D:7E:91:BE:6B:A3, , , ,-96, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:18,18:B5:41:2C:85:BD, , , ,-86, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:18,08:1B:3E:E9:AE:A2, , , ,-97, 
null,2020/01/30 18:56:18,65:08:9E:DD:47:6E, , , ,-85, 
null,2020/01/30 18:56:18,56:D2:FB:F3:78:AA, , , ,-83, 
null,2020/01/30 18:56:18,0D:94:FB:C1:24:45, , , ,-97, 
null,2020/01/30 18:56:18,3D:7E:91:BE:6B:A3, , , ,-96, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-56, 
null,2020/01/30 18:56:18,18:B5:41:2C:85:BD, , , ,-86, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:18,08:1B:3E:E9:AE:A2, , , ,-96, 
null,2020/01/30 18:56:18,57:41:E8:37:44:EA, , , ,-84, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:18,3D:7E:91:BE:6B:A3, , , ,-94, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:18,18:B5:41:2C:85:BD, , , ,-85, 
null,2020/01/30 18:56:18,08:1B:3E:E9:AE:A2, , , ,-100, 
null,2020/01/30 18:56:18,24:F6:77:13:34:DD, , , ,-83, 
null,2020/01/30 18:56:18,5E:0F:13:78:CD:F7, , , ,-99, 
null,2020/01/30 18:56:18,56:D2:FB:F3:78:AA, , , ,-86, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-58, 
null,2020/01/30 18:56:18,3E:7E:CF:4C:02:8F, , , ,-93, 
null,2020/01/30 18:56:18,3D:7E:91:BE:6B:A3, , , ,-96, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-58, 
null,2020/01/30 18:56:18,18:B5:41:2C:85:BD, , , ,-84, 
null,2020/01/30 18:56:18,57:41:E8:37:44:EA, , , ,-83, 
null,2020/01/30 18:56:18,08:1B:3E:E9:AE:A2, , , ,-94, 
[TV]89,2020/01/30 18:56:18,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 18:56:18,3E:7E:CF:4C:02:8F, , , ,-92, 
null,2020/01/30 18:56:18,65:08:9E:DD:47:6E, , , ,-81, 
null,2020/01/30 18:56:18,3D:7E:91:BE:6B:A3, , , ,-94, 
