Name,Time,MAC Address,UUID,Major,Minor,RSSI,Scanned Data
null,2020/01/30 19:18:26,28:6F:4F:72:56:E6, , , ,-97, 
null,2020/01/30 19:18:26,30:A8:0F:76:E1:08, , , ,-94, 
null,2020/01/30 19:18:26,0E:F9:92:69:69:F7, , , ,-98, 
null,2020/01/30 19:18:26,1D:84:8E:87:73:D3, , , ,-97, 
[TV]89,2020/01/30 19:18:26,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 19:18:26,10:26:07:2F:EF:8D, , , ,-93, 
null,2020/01/30 19:18:26,01:72:EB:9A:ED:C8, , , ,-91, 
[TV]89,2020/01/30 19:18:26,84:C0:EF:36:FA:AD, , , ,-55, 
null,2020/01/30 19:18:26,0B:94:4B:70:8B:3F, , , ,-93, 
null,2020/01/30 19:18:26,57:41:E8:37:44:EA, , , ,-74, 
null,2020/01/30 19:18:26,F0:79:60:29:70:53, , , ,-74, 
null,2020/01/30 19:18:26,2B:12:E8:A5:51:D7, , , ,-94, 
null,2020/01/30 19:18:26,63:D7:E7:49:55:A7, , , ,-74, 
[TV]89,2020/01/30 19:18:26,84:C0:EF:36:FA:AD, , , ,-56, 
null,2020/01/30 19:18:26,10:26:07:2F:EF:8D, , , ,-93, 
null,2020/01/30 19:18:26,28:6F:4F:72:56:E6, , , ,-99, 
[TV]89,2020/01/30 19:18:26,84:C0:EF:36:FA:AD, , , ,-58, 
null,2020/01/30 19:18:26,01:72:EB:9A:ED:C8, , , ,-90, 
null,2020/01/30 19:18:26,0B:94:4B:70:8B:3F, , , ,-92, 
null,2020/01/30 19:18:26,30:A8:0F:76:E1:08, , , ,-98, 
null,2020/01/30 19:18:26,7C:67:3E:85:1A:9F, , , ,-87, 
null,2020/01/30 19:18:26,16:D1:41:3F:75:C6, , , ,-92, 
null,2020/01/30 19:18:26,56:D2:FB:F3:78:AA, , , ,-78, 
null,2020/01/30 19:18:26,27:8D:18:13:93:09, , , ,-84, 
null,2020/01/30 19:18:26,5E:0F:13:78:CD:F7, , , ,-76, 
null,2020/01/30 19:18:26,0F:D0:F1:54:A5:C6, , , ,-81, 
null,2020/01/30 19:18:26,10:26:07:2F:EF:8D, , , ,-96, 
null,2020/01/30 19:18:26,1D:84:8E:87:73:D3, , , ,-98, 
null,2020/01/30 19:18:26,43:C7:0C:8D:82:A4, , , ,-91, 
[TV]89,2020/01/30 19:18:26,84:C0:EF:36:FA:AD, , , ,-54, 
[TV]89,2020/01/30 19:18:26,84:C0:EF:36:FA:AD, , , ,-54, 
null,2020/01/30 19:18:26,57:41:E8:37:44:EA, , , ,-76, 
null,2020/01/30 19:18:26,F0:79:60:29:70:53, , , ,-76, 
null,2020/01/30 19:18:26,7C:67:3E:85:1A:9F, , , ,-85, 
null,2020/01/30 19:18:26,29:DC:39:08:6F:99, , , ,-83, 
null,2020/01/30 19:18:26,63:D7:E7:49:55:A7, , , ,-73, 
null,2020/01/30 19:18:26,27:8D:18:13:93:09, , , ,-84, 
null,2020/01/30 19:18:26,16:03:D6:72:0F:D7, , , ,-97, 
null,2020/01/30 19:18:26,0F:D0:F1:54:A5:C6, , , ,-84, 
null,2020/01/30 19:18:26,2B:12:E8:A5:51:D7, , , ,-95, 
[TV]89,2020/01/30 19:18:26,84:C0:EF:36:FA:AD, , , ,-57, 
null,2020/01/30 19:18:26,3A:B4:8D:69:E6:E1, , , ,-100, 
null,2020/01/30 19:18:26,01:72:EB:9A:ED:C8, , , ,-91, 
null,2020/01/30 19:18:26,0B:94:4B:70:8B:3F, , , ,-90, 
null,2020/01/30 19:18:26,30:A8:0F:76:E1:08, , , ,-96, 
null,2020/01/30 19:18:26,16:D1:41:3F:75:C6, , , ,-92, 
null,2020/01/30 19:18:26,29:DC:39:08:6F:99, , , ,-83, 
null,2020/01/30 19:18:26,27:8D:18:13:93:09, , , ,-83, 
null,2020/01/30 19:18:27,16:03:D6:72:0F:D7, , , ,-97, 
null,2020/01/30 19:18:27,0F:D0:F1:54:A5:C6, , , ,-86, 
[TV]89,2020/01/30 19:18:27,84:C0:EF:36:FA:AD, , , ,-54, 
null,2020/01/30 19:18:27,1D:84:8E:87:73:D3, , , ,-99, 
[TV]89,2020/01/30 19:18:27,84:C0:EF:36:FA:AD, , , ,-55, 
null,2020/01/30 19:18:27,57:41:E8:37:44:EA, , , ,-75, 
null,2020/01/30 19:18:27,F0:79:60:29:70:53, , , ,-76, 
null,2020/01/30 19:18:27,01:72:EB:9A:ED:C8, , , ,-87, 
null,2020/01/30 19:18:27,0B:94:4B:70:8B:3F, , , ,-91, 
null,2020/01/30 19:18:27,30:A8:0F:76:E1:08, , , ,-96, 
null,2020/01/30 19:18:27,16:D1:41:3F:75:C6, , , ,-91, 
null,2020/01/30 19:18:27,29:DC:39:08:6F:99, , , ,-83, 
null,2020/01/30 19:18:28,27:8D:18:13:93:09, , , ,-83, 
null,2020/01/30 19:18:28,16:03:D6:72:0F:D7, , , ,-98, 
